lat,lon,alt,x,y
32.869555,-117.220469,95.6,-2452854.9933064794,-4768548.555831007
32.869556,-117.22047,95.6,-2452855.049001217,-4768548.459495913
32.869557,-117.220471,95.6,-2452855.1046959506,-4768548.363160818
32.869557,-117.220472,95.6,-2452855.187922818,-4768548.320350421
32.869558000000005,-117.220474,95.6,-2452855.3268444138,-4768548.181204922
32.869558000000005,-117.220474,95.6,-2452855.3268444138,-4768548.181204922
32.869559,-117.220476,95.7,-2452855.504184732,-4768548.116748515
32.869559,-117.220477,95.7,-2452855.5874115974,-4768548.073938108
32.869559,-117.220487,95.6,-2452856.3812614586,-4768547.571144885
32.869557,-117.220484,95.6,-2452856.186645189,-4768547.806625527
32.869556,-117.220485,95.7,-2452856.335822942,-4768547.892028894
32.869554,-117.220485,95.7,-2452856.3908872413,-4768547.999078274
32.869552,-117.220485,95.7,-2452856.445951537,-4768548.106127647
32.869552,-117.220484,95.6,-2452856.3243059283,-4768548.07424897
32.869551,-117.220484,95.6,-2452856.3518380737,-4768548.127773654
32.86955,-117.220482,95.3,-2452856.0976602607,-4768548.042851871
32.869549,-117.220481,95.1,-2452855.965128054,-4768547.989808761
32.869547999999995,-117.22048,94.8,-2452855.7941771075,-4768547.862076538
32.869547,-117.220478,94.7,-2452855.6168367798,-4768547.926532924
32.869546,-117.220477,94.7,-2452855.5611420507,-4768548.022868002
32.869545,-117.220475,94.5,-2452855.3453829805,-4768548.012635264
32.869544,-117.220475,94.4,-2452855.334496373,-4768547.991470822
32.869545,-117.220474,94.2,-2452855.1468999153,-4768547.831378333
32.869545,-117.220474,94.0,-2452855.0700624487,-4768547.682000113
32.869545,-117.220474,93.8,-2452854.9932249812,-4768547.532621892
32.869545,-117.220474,93.7,-2452854.9548062477,-4768547.457932782
32.869546,-117.220473,93.5,-2452854.767209807,-4768547.297840291
32.869546,-117.220473,93.4,-2452854.7287910753,-4768547.223151182
32.869546,-117.220473,93.2,-2452854.6519536115,-4768547.07377296
32.869547,-117.220473,93.1,-2452854.5860027587,-4768546.945559189
32.869547,-117.220473,93.1,-2452854.5860027587,-4768546.945559189
32.869547999999995,-117.22047,93.0,-2452854.270371376,-4768546.945776573
32.869549,-117.220468,93.0,-2452854.076385568,-4768546.9778726725
32.869549,-117.220466,92.9,-2452853.8715131534,-4768546.988804316
32.869547999999995,-117.220465,92.9,-2452853.8158184234,-4768547.085139357
32.869547,-117.220463,92.9,-2452853.676896838,-4768547.22428477
32.869546,-117.220461,92.9,-2452853.537975246,-4768547.363430179
32.869545,-117.220459,92.9,-2452853.3990536476,-4768547.50257558
32.869544,-117.220458,93.0,-2452853.381777608,-4768547.673599734
32.869543,-117.220457,93.0,-2452853.326082853,-4768547.769934765
32.869542,-117.220456,92.9,-2452853.2319693854,-4768547.791580668
32.86954,-117.220455,92.9,-2452853.2038067235,-4768547.941440352
32.869538,-117.220454,93.0,-2452853.2140627643,-4768548.1659891615
32.869537,-117.220453,93.0,-2452853.1583679924,-4768548.262324182
32.869536,-117.220453,93.0,-2452853.185900087,-4768548.315848839
32.869535,-117.220453,92.9,-2452853.17501347,-4768548.29468436
32.869535,-117.220453,92.9,-2452853.17501347,-4768548.29468436
32.869533000000004,-117.220452,92.8,-2452853.108432072,-4768548.36985489
32.869532,-117.22045,92.8,-2452852.9695104207,-4768548.509000261
32.869532,-117.220451,92.9,-2452853.0911560003,-4768548.540879038
32.869533000000004,-117.220451,92.9,-2452853.063623911,-4768548.4873543875
32.869533000000004,-117.22045,93.0,-2452853.018815748,-4768548.604853884
32.869534,-117.22045,93.0,-2452852.991283659,-4768548.551329232
32.869534,-117.220449,93.0,-2452852.908056786,-4768548.594139593
32.869534,-117.220448,93.0,-2452852.8248299113,-4768548.636949952
32.869534,-117.220448,92.9,-2452852.786411207,-4768548.562260815
32.869534,-117.220448,92.8,-2452852.7479925025,-4768548.487571677
32.869534,-117.220448,92.8,-2452852.7479925025,-4768548.487571677
32.869535,-117.220448,92.7,-2452852.6820417116,-4768548.359357889
32.869535,-117.220448,92.7,-2452852.6820417116,-4768548.359357889
32.869536,-117.220448,92.6,-2452852.6160909203,-4768548.231144099
32.869538,-117.220466,98.2,-2452856.2105588643,-4768551.536099005
32.86954,-117.220469,98.3,-2452856.4435940986,-4768551.375307473
32.869547999999995,-117.220483,98.4,-2452857.426932472,-4768550.422452967
32.869549,-117.220486,98.3,-2452857.6106622787,-4768550.165807845
32.869551,-117.220488,98.3,-2452857.7220517593,-4768549.973137553
32.869553,-117.220491,98.3,-2452857.91666812,-4768549.737656808
32.869555,-117.220494,98.3,-2452858.111284461,-4768549.50217605
32.869556,-117.220495,98.2,-2452858.1285604234,-4768549.331151805
32.869557,-117.220496,98.2,-2452858.1842551357,-4768549.234816647
32.869558000000005,-117.220497,98.2,-2452858.2399498466,-4768549.138481487
32.869559,-117.220497,98.2,-2452858.2124176724,-4768549.084956776
32.86956,-117.220497,98.2,-2452858.184885497,-4768549.031432064
32.86956,-117.220497,98.3,-2452858.223304254,-4768549.106121146
32.869561,-117.220497,98.2,-2452858.1573533216,-4768548.977907352
32.869561,-117.220497,98.3,-2452858.1957720784,-4768549.052596434
